key,연도,실제예산,시뮬예산,위험지수,Y,Y_bin,시도,시군구,diff
경상북도경산시,2019,58159000.0,291495804.6133847,0.1892190689877153,0.0003999200213269,1,경상북도,경산시,233336804.61338472
경상북도경주시,2019,2106681453.0,324216834.9493027,0.4954120162941811,0.265743164933027,1,경상북도,경주시,-1782464618.0506973
경상북도고령군,2019,0.0,374985719.1490646,0.787534537389121,0.0869113719892964,1,경상북도,고령군,374985719.1490646
경상북도구미시,2019,1349873000.0,287567259.4149415,0.1519609478616953,0.4347002333764993,1,경상북도,구미시,-1062305740.5850585
경상북도김천시,2019,0.0,175515398.4320147,-0.4884727926871857,0.0054849302305696,1,경상북도,김천시,175515398.4320147
경상북도문경시,2019,0.0,207843944.94754845,-0.3131619775419507,0.0,0,경상북도,문경시,207843944.94754845
경상북도봉화군,2019,473197523.0,317024929.59374684,0.3490208503804151,0.0,0,경상북도,봉화군,-156172593.40625316
경상북도상주시,2019,0.0,226772459.5142965,-0.2105166787008604,0.0030952049073024,1,경상북도,상주시,226772459.5142965
경상북도성주군,2019,0.0,309582660.7930369,0.2514257535105245,0.0591176044830888,1,경상북도,성주군,309582660.7930369
경상북도안동시,2019,1487005100.0,334727828.29622555,0.4638575547495402,0.192601866201511,1,경상북도,안동시,-1152277271.7037745
경상북도영덕군,2019,288298000.0,366243503.6227667,0.9185069619441212,0.0122249696225689,1,경상북도,영덕군,77945503.62276667
경상북도영양군,2019,0.0,355755547.72285616,0.8373905193547192,0.0,0,경상북도,영양군,355755547.72285616
경상북도영주시,2019,0.0,215873627.55427206,-0.2696187207343538,0.0003999200213269,1,경상북도,영주시,215873627.55427206
경상북도영천시,2019,230700399.0,305589807.7973141,0.4380735678395416,0.0021975835434872,1,경상북도,영천시,74889408.7973141
경상북도예천군,2019,60000000.0,209388873.91617325,-0.304784157131715,0.0,0,경상북도,예천군,149388873.91617325
경상북도울릉군,2019,0.0,250210381.88482344,-0.0714679021542424,0.0,0,경상북도,울릉군,250210381.88482344
경상북도울진군,2019,0.0,420087600.35663426,1.318662341152289,0.0,0,경상북도,울진군,420087600.35663426
경상북도의성군,2019,0.0,337235919.78310317,0.5379347476715329,0.0005998200719676,1,경상북도,의성군,337235919.78310317
경상북도청도군,2019,365422726.0,339182779.5330525,0.5622524040675959,0.0520230280671519,1,경상북도,청도군,-26239946.466947496
경상북도청송군,2019,0.0,286835591.89109766,0.2211673323849738,0.0,0,경상북도,청송군,286835591.89109766
경상북도칠곡군,2019,329200000.0,339916193.0810063,0.4639441309227865,0.0560021901152847,1,경상북도,칠곡군,10716193.081006289
경상북도포항시,2019,0.0,337092418.54916877,0.7497548975786327,0.2752804897340374,1,경상북도,포항시,337092418.54916877
광주광역시광산구,2019,18458000.0,294612927.12884885,0.1573677132443968,0.0001999800026662,1,광주광역시,광산구,276154927.12884885
광주광역시남구,2019,0.0,290744596.6822427,0.1363905819799332,0.0,0,광주광역시,남구,290744596.6822427
광주광역시동구,2019,0.0,353216255.1004588,0.4751610663105472,0.0,0,광주광역시,동구,353216255.1004588
광주광역시북구,2019,0.0,294650307.2282037,0.157570417553573,0.0,0,광주광역시,북구,294650307.2282037
광주광역시서구,2019,14591424.0,258735597.47060835,-0.0371873962653453,0.0,0,광주광역시,서구,244144173.47060835
대구광역시남구,2019,0.0,294819168.15681195,0.2500048413663703,0.0,0,대구광역시,남구,294819168.15681195
대구광역시달서구,2019,113006840.0,310020634.3048165,0.3505115429260049,0.004489905272852,1,대구광역시,달서구,197013794.30481648
대구광역시달성군,2019,2316144840.0,414999857.6456268,1.0327832825212078,0.0573250666192694,1,대구광역시,달성군,-1901144982.3543732
대구광역시동구,2019,0.0,374403364.9578352,0.7560521206606264,0.001199280575482,1,대구광역시,동구,374403364.9578352
대구광역시북구,2019,738770307.0,338147990.5767622,0.5184121631921704,0.1135965065825405,1,대구광역시,북구,-400622316.4232378
대구광역시서구,2019,13773000.0,226887127.69127196,-0.1932705224650253,0.0108410231778748,1,대구광역시,서구,213114127.69127196
대구광역시수성구,2019,42245100.0,333417604.18071955,0.5018910739473705,0.000499875041651,1,대구광역시,수성구,291172504.18071955
대전광역시대덕구,2019,1972000.0,197347145.10103744,-0.3700838851391269,0.0,0,대전광역시,대덕구,195375145.10103744
대전광역시동구,2019,1972000.0,184717393.39376515,-0.4385723359211608,0.0,0,대전광역시,동구,182745393.39376515
대전광역시서구,2019,18156000.0,211973081.39537975,-0.2907705509379929,0.0,0,대전광역시,서구,193817081.39537975
대전광역시유성구,2019,20000000.0,263544019.91069216,-0.0111123465525879,0.0002999550089979,1,대전광역시,유성구,243544019.91069216
대전광역시중구,2019,0.0,184946926.92671618,-0.4373276245096695,0.0,0,대전광역시,중구,184946926.92671618
부산광역시강서구,2019,17189000.0,356224907.15630347,0.8067464360175703,0.0028958031120255,1,부산광역시,강서구,339035907.15630347
부산광역시금정구,2019,38771000.0,475944761.0534599,1.4935202090308757,0.1015633154094412,1,부산광역시,금정구,437173761.0534599
부산광역시기장군,2019,109116000.0,463311954.2331278,1.4094667682380937,0.1217750569259209,1,부산광역시,기장군,354195954.2331278
부산광역시남구,2019,11061000.0,443185381.82230407,1.1734303888077309,0.0006997551142733,1,부산광역시,남구,432124381.82230407
부산광역시동구,2019,840000.0,353934045.03268564,0.5955188689015611,0.0,0,부산광역시,동구,353094045.03268564
부산광역시동래구,2019,1680000.0,414628091.8391762,0.8739006082637945,0.0,0,부산광역시,동래구,412948091.8391762
부산광역시부산진구,2019,6282000.0,373223946.0710693,0.7174050696507527,0.006379606964039,1,부산광역시,부산진구,366941946.0710693
