연도,시도,시군구,log_피해밀도_본per_ha,Y_bin,노출도_점수,기후위험도_점수,지자체대응역량_점수,인위적확산_점수,구조적취약성지수,위험지수,연속발생연수_L1,집단발생여부_L1,log_인접시군_피해밀도_본per_ha_L1,key,구조적취약성지수_gm,연속발생연수_L1_gm,집단발생여부_L1_gm,log_인접시군_피해밀도_본per_ha_L1_gm,Model2_예측확률,_decile
2022,경기도,하남시,0.0078689583786951,1,-1.1582430789225655,0.3839084051576065,-0.5776769783701813,-0.4816828614425159,-0.4584236283944141,-0.418672511735825,6.0,1.0,0.0441125746183209,경기도하남시,-0.5550006038796279,4.0,0.8571428571428571,0.1332919675951776,0.9993815382452222,9
2023,경기도,하남시,0.0272259862535914,1,-1.1582430789225655,-0.125484661592804,-0.6410538885190598,-0.4592193961953782,-0.5960002563074519,-0.5809823789035827,7.0,0.0,0.0542040540135121,경기도하남시,-0.5550006038796279,4.0,0.8571428571428571,0.1332919675951776,0.9972490875587439,8
2017,경기도,화성시,0.0,0,-1.0983597079294152,0.6386258965657722,0.711348555417926,-0.7319868092862336,-0.1200930163079876,-0.3972402068832921,1.0,0.0,0.0078689583786951,경기도화성시,-0.5202903747302914,2.2857142857142856,0.0,0.0038891710975763856,0.4634659605997118,6
2018,경기도,화성시,0.0003999200213269,1,-1.0906188772045904,-0.0701306999415991,-0.4613037179038565,-0.7467124578389616,-0.5921914382222518,-0.6358206783283836,0.0,0.0,0.0065783153601225,경기도화성시,-0.5202903747302914,2.2857142857142856,0.0,0.0038891710975763856,0.647203593388252,6
2019,경기도,화성시,9.999500033330834e-05,1,-1.0906188772045904,-0.1478030349212727,-0.3637023122363262,-0.7834712016211265,-0.5963988564958289,-0.6739643712489966,1.0,0.0,0.0046889894861315,경기도화성시,-0.5202903747302914,2.2857142857142856,0.0,0.0038891710975763856,0.6523185571508169,6
2020,경기도,화성시,0.0013990209137073,1,-1.109943269777649,0.0029975817513372,-0.4466246149366135,-0.8028176631394589,-0.589096991525596,-0.6365877837219235,2.0,0.0,0.0042907814171562,경기도화성시,-0.5202903747302914,2.2857142857142856,0.0,0.0038891710975763856,0.652449128287912,6
2021,경기도,화성시,9.999500033330834e-05,1,-1.109943269777649,-0.1452854663273057,-0.3499208228810113,-0.8195604469352666,-0.6061775014803081,-0.6915963943467404,3.0,0.0,0.000499875041651,경기도화성시,-0.5202903747302914,2.2857142857142856,0.0,0.0038891710975763856,0.6631395635978827,7
2022,경기도,화성시,0.0,0,-1.109943269777649,0.5466517325462844,-0.4402843588700557,-0.8637993901103577,-0.4668438215529444,-0.475696975780574,4.0,0.0,0.0016985566355814,경기도화성시,-0.5202903747302914,2.2857142857142856,0.0,0.0038891710975763856,0.6133193855022868,6
2023,경기도,화성시,0.0007996801705643,1,-1.109943269777649,-0.4205613347807108,-0.3139650534097716,-0.8404543321403597,-0.6712309975271229,-0.7903196455662398,5.0,0.0,0.001598721363697,경기도화성시,-0.5202903747302914,2.2857142857142856,0.0,0.0038891710975763856,0.6905659156147007,7
2017,경상남도,거제시,0.2824685053988935,1,1.7018014876493577,1.1465800154906385,-0.3022193481205739,0.872344495871119,0.8546266627226352,1.2402419996703715,1.0,1.0,0.2311910828935104,경상남도거제시,0.8027072564815797,4.0,1.0,0.11321795116340448,0.999689831999673,9
