연도,시도,시군구,피해본수_당해연도,전년도_피해본수,행정구역면적_ha,피해밀도_본per ha,최근3년_피해증가율(%),연속발생연수,인접시군_피해밀도_본per ha,인접시군_산정방식,소나무류_면적_ha,산림면적_ha,소나무류_면적비율(%),소나무류_면적_산정방식,최근감염목과의_거리_km,집단발생여부,데이터유형
2024,전라남도,광양시,2798,3160,45889.0,0.061,-11.46,10,0.0673,SGIS실제인접,6047.4,26800.0,22.56,보간(2019/2025 실측 anchor),171.99,0,추정(최근추세 외삽)
2025,전라남도,광양시,2477,2798,45889.0,0.054,-11.34,11,0.0596,SGIS실제인접,6053.6,26820.5,22.57,실측(임상도overlay),171.99,0,추정(최근추세 외삽)
2016,전라남도,순천시,2392,1641,90743.0,0.0264,,2,0.0512,SGIS실제인접,15833.6,56930.4,27.81,외삽(2019/2025 실측 anchor),112.95,0,공식통계 기반(2023 스냅샷 비중 고정)
2017,전라남도,순천시,3259,2392,90743.0,0.0359,,3,0.0698,SGIS실제인접,15855.9,56974.5,27.83,외삽(2019/2025 실측 anchor),186.9,0,공식통계 기반(2023 스냅샷 비중 고정)
2018,전라남도,순천시,5059,3259,90743.0,0.0558,,4,0.1084,SGIS실제인접,15878.2,57018.6,27.85,외삽(2019/2025 실측 anchor),186.9,0,공식통계 기반(2023 스냅샷 비중 고정)
2019,전라남도,순천시,6886,5059,90743.0,0.0759,42.54,5,0.1475,SGIS실제인접,15900.4,57062.7,27.86,실측(임상도overlay),186.9,0,공식통계 기반(2023 스냅샷 비중 고정)
2020,전라남도,순천시,6071,6886,90743.0,0.0669,26.5,6,0.13,SGIS실제인접,15922.8,57106.8,27.88,보간(2019/2025 실측 anchor),186.9,0,공식통계 기반(2023 스냅샷 비중 고정)
2021,전라남도,순천시,5230,6071,90743.0,0.0576,3.47,7,0.112,SGIS실제인접,15945.1,57151.0,27.9,보간(2019/2025 실측 anchor),186.9,0,공식통계 기반(2023 스냅샷 비중 고정)
2022,전라남도,순천시,4612,5230,90743.0,0.0508,-12.5,8,0.0988,SGIS실제인접,15967.5,57195.2,27.92,보간(2019/2025 실측 anchor),186.9,0,공식통계 기반(2023 스냅샷 비중 고정)
2023,전라남도,순천시,4100,4612,90743.0,0.0452,-12.26,9,0.0878,SGIS실제인접,15990.0,57239.5,27.94,보간(2019/2025 실측 anchor),186.9,0,공식통계 기반(2023 스냅샷 비중 고정)
2024,전라남도,순천시,3630,4100,90743.0,0.04,-11.46,10,0.0778,SGIS실제인접,16012.4,57283.8,27.95,보간(2019/2025 실측 anchor),186.9,0,추정(최근추세 외삽)
2025,전라남도,순천시,3214,3630,90743.0,0.0354,-11.34,11,0.0688,SGIS실제인접,16034.9,57328.1,27.97,실측(임상도overlay),186.9,0,추정(최근추세 외삽)
2016,전라남도,여수시,3191,2189,51233.00000000001,0.0623,,3,0.0333,SGIS실제인접,11013.7,26733.5,41.2,외삽(2019/2025 실측 anchor),106.41,0,공식통계 기반(2023 스냅샷 비중 고정)
2017,전라남도,여수시,4348,3191,51233.00000000001,0.0849,,4,0.0453,SGIS실제인접,11018.1,26754.8,41.18,외삽(2019/2025 실측 anchor),186.92,0,공식통계 기반(2023 스냅샷 비중 고정)
2018,전라남도,여수시,6750,4348,51233.00000000001,0.1317,,5,0.0704,SGIS실제인접,11022.5,26776.0,41.17,외삽(2019/2025 실측 anchor),186.92,0,공식통계 기반(2023 스냅샷 비중 고정)
2019,전라남도,여수시,9187,6750,51233.00000000001,0.1793,42.54,6,0.0958,SGIS실제인접,11026.8,26797.3,41.15,실측(임상도overlay),186.92,0,공식통계 기반(2023 스냅샷 비중 고정)
2020,전라남도,여수시,8100,9187,51233.00000000001,0.1581,26.5,7,0.0844,SGIS실제인접,11031.2,26818.6,41.13,보간(2019/2025 실측 anchor),186.92,0,공식통계 기반(2023 스냅샷 비중 고정)
2021,전라남도,여수시,6978,8100,51233.00000000001,0.1362,3.47,8,0.0727,SGIS실제인접,11035.6,26839.9,41.12,보간(2019/2025 실측 anchor),186.92,0,공식통계 기반(2023 스냅샷 비중 고정)
2022,전라남도,여수시,6154,6978,51233.00000000001,0.1201,-12.5,9,0.0641,SGIS실제인접,11040.0,26861.3,41.1,보간(2019/2025 실측 anchor),186.92,0,공식통계 기반(2023 스냅샷 비중 고정)
2023,전라남도,여수시,5470,6154,51233.00000000001,0.1068,-12.26,10,0.057,SGIS실제인접,11044.3,26882.6,41.08,보간(2019/2025 실측 anchor),186.92,0,공식통계 기반(2023 스냅샷 비중 고정)
2024,전라남도,여수시,4843,5470,51233.00000000001,0.0945,-11.46,11,0.0505,SGIS실제인접,11048.7,26904.0,41.07,보간(2019/2025 실측 anchor),186.92,0,추정(최근추세 외삽)
2025,전라남도,여수시,4288,4843,51233.00000000001,0.0837,-11.34,12,0.0447,SGIS실제인접,11053.1,26925.4,41.05,실측(임상도overlay),186.92,0,추정(최근추세 외삽)
2016,전라북도,남원시,1200,780,75262.0,0.0159,,1,0.0397,centroid근접(대체),19647.3,41913.3,46.88,외삽(2019/2025 실측 anchor),118.98,0,공식통계 기반(2023 스냅샷 비중 고정)
2017,전라북도,남원시,1743,1200,75262.0,0.0232,,2,0.0541,centroid근접(대체),19562.5,41945.3,46.64,외삽(2019/2025 실측 anchor),172.81,0,공식통계 기반(2023 스냅샷 비중 고정)
2018,전라북도,남원시,2829,1743,75262.0,0.0376,,3,0.0846,centroid근접(대체),19478.0,41977.3,46.4,외삽(2019/2025 실측 anchor),172.81,0,공식통계 기반(2023 스냅샷 비중 고정)
2019,전라북도,남원시,4071,2829,75262.0,0.0541,50.49,4,0.1168,centroid근접(대체),19393.9,42009.4,46.17,실측(임상도overlay),172.81,0,공식통계 기반(2023 스냅샷 비중 고정)
2020,전라북도,남원시,3600,4071,75262.0,0.0478,31.55,5,0.1028,centroid근접(대체),19310.2,42041.5,45.93,보간(2019/2025 실측 anchor),172.81,0,공식통계 기반(2023 스냅샷 비중 고정)
2021,전라북도,남원시,3071,3600,75262.0,0.0408,5.89,6,0.0887,centroid근접(대체),19226.8,42073.5,45.7,보간(2019/2025 실측 anchor),172.81,0,공식통계 기반(2023 스냅샷 비중 고정)
2022,전라북도,남원시,2700,3071,75262.0,0.0359,-12.78,7,0.0779,centroid근접(대체),19143.8,42105.7,45.47,보간(2019/2025 실측 anchor),172.81,0,공식통계 기반(2023 스냅샷 비중 고정)
2023,전라북도,남원시,2400,2700,75262.0,0.0319,-12.63,8,0.0698,centroid근접(대체),19061.2,42137.8,45.24,보간(2019/2025 실측 anchor),172.81,0,공식통계 기반(2023 스냅샷 비중 고정)
2024,전라북도,남원시,2122,2400,75262.0,0.0282,-11.6,9,0.0619,centroid근접(대체),18978.9,42170.0,45.01,보간(2019/2025 실측 anchor),172.81,0,추정(최근추세 외삽)
2025,전라북도,남원시,1875,2122,75262.0,0.0249,-11.44,10,0.0549,centroid근접(대체),18896.9,42202.2,44.78,실측(임상도overlay),172.81,0,추정(최근추세 외삽)
2016,전라북도,전주시,850,553,20550.0,0.0414,,1,0.0223,centroid근접(대체),470.5,5614.7,8.38,외삽(2019/2025 실측 anchor),153.74,0,공식통계 기반(2023 스냅샷 비중 고정)
