연도,시도,시군구,국비지원액_최종_원,log_국비지원액_최종_원,산림면적당_국비지원액_최종(원per ha),log_국비지원액_최종_per_ha,log_국비지원액_직접방제_원,log_국비지원액_예찰진단_원,예찰진단_예산비중,국비비율_최종(%),국비비율_결측_flag,매칭사업수_최종,매칭사업_없음_flag,index_eligible
2018,경기도,포천시,,,,,,,,,1,,,0
2019,경기도,포천시,,,,,,,,,1,,,0
2020,경기도,포천시,,,,,,,,,1,,,0
2021,경기도,포천시,,,,,,,,,1,,,0
2022,경기도,포천시,,,,,,,,,1,,,0
2023,경기도,포천시,,,,,,,,,1,,,0
2016,경기도,하남시,,,,,,,,,1,,,0
2017,경기도,하남시,,,,,,,,,1,,,0
2018,경기도,하남시,,,,,,,,,1,,,0
2019,경기도,하남시,,,,,,,,,1,,,0
2020,경기도,하남시,,,,,,,,,1,,,0
2021,경기도,하남시,,,,,,,,,1,,,0
2022,경기도,하남시,,,,,,,,,1,,,0
2023,경기도,하남시,,,,,,,,,1,,,0
2016,경기도,화성시,,,,,,,,,1,,,0
2017,경기도,화성시,,,,,,,,,1,,,0
2018,경기도,화성시,,,,,,,,,1,,,0
2019,경기도,화성시,,,,,,,,,1,,,0
2020,경기도,화성시,,,,,,,,,1,,,0
2021,경기도,화성시,,,,,,,,,1,,,0
2022,경기도,화성시,,,,,,,,,1,,,0
2023,경기도,화성시,,,,,,,,,1,,,0
2016,경상남도,거제시,150000000.0,18.8261458587272,5536.4,8.619280355499585,18.8261458587272,0.0,0.0,50.0,0,1.0,0.0,1
2017,경상남도,거제시,1356639000.0,21.028276155141587,50152.3,10.82283959381741,20.778894471103197,19.517404587296177,0.2207175232320462,62.8,0,3.0,0.0,1
2018,경상남도,거제시,1634919000.0,21.214859099395664,60535.5,11.011001767888285,21.1349383067931,18.648445608530206,0.0768105331212127,64.14,0,4.0,0.0,1
2019,경상남도,거제시,2528869980.0,21.651038392082903,93783.8,11.448758074954982,21.596737156204966,18.710802345831027,0.0528532510793615,64.21,0,5.0,0.0,1
